request_id,num_generated_notes,generation_start_tick,round_trip_time,total_network_latency,server_request_arrival_time,server_response_output_time,server_preprocess_start_time,server_inference_start_time,server_inference_end_time,server_postprocess_start_time,server_processing_duration,preprocess_duration,inference_duration,postprocess_duration,generation_length_frames,prompt_length_ticks,experiment_name,experiment_duration,generation_length,experiment_source,experiment_type
31,0,400,0.1799771299993153,0.1477044779749121,646350.699452956,646350.731725608,646350.699585889,646350.701166373,646350.731318612,646350.731326252,0.0322726520244032,0.0015804839786142,0.0301522390218451,0.0003993560094386,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
32,0,400,0.1835873239906504,0.1512107810704037,646350.982720967,646351.01509751,646350.982859019,646350.984410123,646351.014656273,646351.014663213,0.0323765429202467,0.0015511040110141,0.0302461499813944,0.0004342969041317,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
33,0,400,0.1824693259841296,0.1504301278910134,646351.266491324,646351.298530522,646351.266625946,646351.268076488,646351.298135775,646351.298143535,0.0320391980931162,0.0014505420112982,0.0300592869753018,0.0003869869979098,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
34,0,400,0.1810922280128579,0.1493241049756761,646351.549611782,646351.581379905,646351.549748044,646351.551233086,646351.58106217,646351.58106956,0.0317681230371817,0.0014850420411676,0.0298290839418768,0.000310344970785,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
35,0,400,0.1821234269882552,0.1503453229670412,646351.83090375,646351.862681854,646351.831061823,646351.832471085,646351.862321869,646351.862329219,0.0317781040212139,0.0014092620695009,0.029850783990696,0.0003526350483298,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
36,0,400,0.1811782289878465,0.1489391079521738,646352.112683106,646352.144922227,646352.112815258,646352.114311851,646352.144564102,646352.144571442,0.0322391210356727,0.0014965930022299,0.0302522510755807,0.0003507849760353,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
37,0,400,0.1810556289856322,0.1491518839611672,646352.393563901,646352.425467646,646352.393700183,646352.395228895,646352.42512161,646352.4251287,0.031903745024465,0.0015287119895219,0.0298927150433883,0.0003389460034668,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
38,0,400,0.1817474270064849,0.1497304609802086,646352.676063369,646352.708080335,646352.67619124,646352.677624092,646352.707670009,646352.70767734,0.0320169660262763,0.0014328520046547,0.0300459170248359,0.0004029950359836,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
39,0,400,0.1870020199858117,0.1551391448883805,646352.964817541,646352.996680416,646352.964959242,646352.966476546,646352.99633851,646352.996346091,0.0318628750974312,0.0015173039864748,0.0298619639361277,0.0003343250136822,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
40,0,400,0.1795067310158629,0.1472817000758368,646353.244184741,646353.276409772,646353.244329523,646353.246022928,646353.276089576,646353.276096906,0.032225030940026,0.0016934050945565,0.0300666479161009,0.0003128659445792,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
41,0,400,0.1817114279838279,0.1498281519161537,646353.526541346,646353.558424622,646353.526677839,646353.528222191,646353.558097427,646353.558104447,0.0318832760676741,0.0015443520387634,0.0298752359813079,0.0003201750805601,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
42,0,400,0.1799366299819667,0.1482658579770941,646353.807115775,646353.838786547,646353.807245447,646353.808667988,646353.838465822,646353.838472632,0.0316707720048725,0.0014225410996004,0.0297978339949622,0.0003139149630442,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
43,0,400,0.1798087299976032,0.1481241270375903,646354.086690278,646354.118374881,646354.08681328,646354.088254542,646354.118067816,646354.118074945,0.0316846029600128,0.0014412619639188,0.0298132740426808,0.0002999359276145,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
44,0,400,0.1805747290200088,0.1487136240175459,646354.367784575,646354.39964568,646354.367916317,646354.369365689,646354.399240363,646354.399248613,0.0318611050024628,0.0014493720373138,0.0298746740445494,0.0003970669349655,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
45,0,400,0.1815634280210361,0.149532890995033,646354.650326733,646354.68235727,646354.650461024,646354.651901367,646354.681965734,646354.681972864,0.032030537026003,0.0014403429813683,0.0300643669907003,0.0003844060702249,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
46,0,400,0.1819099279819056,0.1499267409089952,646354.931760944,646354.963744131,646354.931892786,646354.933348248,646354.963394036,646354.963401206,0.0319831870729103,0.0014554620720446,0.0300457880366593,0.0003429250791668,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
47,0,400,0.1811487289960496,0.1494650169624947,646355.213722934,646355.245406646,646355.213851527,646355.215312808,646355.245105422,646355.245112682,0.0316837120335549,0.0014612810919061,0.0297926139319315,0.0002939640544354,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
48,0,400,0.1944747089873999,0.1627285060239955,646355.508420188,646355.540166391,646355.508548699,646355.510030461,646355.539847486,646355.539854366,0.0317462029634043,0.0014817620394751,0.0298170249443501,0.0003120249602943,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
49,0,400,0.1811405280022882,0.1494446140131913,646355.790611109,646355.822307023,646355.790737072,646355.792193344,646355.821991978,646355.822013378,0.0316959139890968,0.0014562719734385,0.0297986340010538,0.0002936449600383,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
50,0,400,0.1797861300001386,0.1480212380702141,646356.070978846,646356.102743738,646356.071137708,646356.072571599,646356.102408764,646356.102416064,0.0317648919299244,0.001433891011402,0.0298371649114415,0.0003276739735156,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
51,0,400,0.1956918060022872,0.1637780909368302,646356.351499253,646356.383412968,646356.351635036,646356.353173359,646356.383088924,646356.383095884,0.0319137150654569,0.0015383230056613,0.0299155650427564,0.0003170840209349,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
52,0,400,0.1817617280175909,0.1498341020196676,646356.649443276,646356.681370902,646356.649580578,646356.651140952,646356.681044907,646356.681052567,0.0319276259979233,0.0015603740466758,0.0299039549427106,0.0003183350199833,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
53,0,400,0.1902073149976786,0.1584734819771256,646356.939482949,646356.971216782,646356.9396076,646356.941020652,646356.970878437,646356.970885706,0.0317338330205529,0.001413051970303,0.0298577850917354,0.0003310759784653,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
54,0,400,0.1814273280033376,0.1492750280012842,646357.221768313,646357.253920613,646357.221894204,646357.223368687,646357.253506596,646357.253513416,0.0321523000020533,0.0014744829386472,0.0301379089942201,0.0004071969306096,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
55,0,400,0.1820313269854523,0.1499562590033747,646357.503482989,646357.535558057,646357.503615791,646357.505182435,646357.535198922,646357.535206562,0.0320750679820776,0.0015666440594941,0.0300164869986474,0.0003514949930831,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
56,0,400,0.1817450280068442,0.1499282029690221,646357.786425243,646357.818242068,646357.786558845,646357.788025497,646357.817871031,646357.817878252,0.0318168250378221,0.0014666520291939,0.0298455340089276,0.0003638160414993,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
57,0,400,0.1815546280122362,0.1498723350814543,646358.069303747,646358.10098604,646358.069438429,646358.070870351,646358.100681594,646358.100688934,0.0316822929307818,0.0014319220790639,0.0298112429445609,0.0002971059875562,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
58,0,400,0.1836979250074364,0.1517971390276216,646358.352750789,646358.384651575,646358.352887332,646358.354378104,646358.384290279,646358.384297389,0.0319007859798148,0.0014907720033079,0.0299121750285848,0.0003541860496625,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
